"Step","divine-elevator-2 - train loss","divine-elevator-2 - train loss__MIN","divine-elevator-2 - train loss__MAX"
"0","1.4967138767242432","1.4967138767242432","1.4967138767242432"
"1","1.4306871891021729","1.4306871891021729","1.4306871891021729"
"2","1.2289057970046997","1.2289057970046997","1.2289057970046997"
"3","1.1271255016326904","1.1271255016326904","1.1271255016326904"
"4","1.0039559602737427","1.0039559602737427","1.0039559602737427"
"5","0.9399533271789551","0.9399533271789551","0.9399533271789551"
"6","0.9388487935066223","0.9388487935066223","0.9388487935066223"
"7","0.8713592290878296","0.8713592290878296","0.8713592290878296"
"8","0.8414510488510132","0.8414510488510132","0.8414510488510132"
"9","0.8136240243911743","0.8136240243911743","0.8136240243911743"
"10","0.8068426847457886","0.8068426847457886","0.8068426847457886"
"11","0.7771742343902588","0.7771742343902588","0.7771742343902588"
"12","0.7605080604553223","0.7605080604553223","0.7605080604553223"
"13","0.7449865341186523","0.7449865341186523","0.7449865341186523"
"14","0.7453196048736572","0.7453196048736572","0.7453196048736572"
"15","0.7098535299301147","0.7098535299301147","0.7098535299301147"
"16","0.7554863691329956","0.7554863691329956","0.7554863691329956"
"17","0.7173815965652466","0.7173815965652466","0.7173815965652466"
"18","0.6835870146751404","0.6835870146751404","0.6835870146751404"
"19","0.6538078188896179","0.6538078188896179","0.6538078188896179"
"20","0.6459234952926636","0.6459234952926636","0.6459234952926636"
"21","0.6311752200126648","0.6311752200126648","0.6311752200126648"
"22","0.6431207656860352","0.6431207656860352","0.6431207656860352"
"23","0.6516493558883667","0.6516493558883667","0.6516493558883667"
"24","0.6239220499992371","0.6239220499992371","0.6239220499992371"
"25","0.5993443131446838","0.5993443131446838","0.5993443131446838"
"26","0.6641227006912231","0.6641227006912231","0.6641227006912231"
"27","0.5739650130271912","0.5739650130271912","0.5739650130271912"
"28","0.5797258615493774","0.5797258615493774","0.5797258615493774"
"29","0.5512679815292358","0.5512679815292358","0.5512679815292358"
"30","0.5861420631408691","0.5861420631408691","0.5861420631408691"
"31","0.617668628692627","0.617668628692627","0.617668628692627"
"32","0.5124945044517517","0.5124945044517517","0.5124945044517517"
"33","0.48686206340789795","0.48686206340789795","0.48686206340789795"
"34","0.5293048024177551","0.5293048024177551","0.5293048024177551"
"35","0.5330798625946045","0.5330798625946045","0.5330798625946045"
"36","0.4537906050682068","0.4537906050682068","0.4537906050682068"
"37","0.4510005712509155","0.4510005712509155","0.4510005712509155"
"38","0.45148804783821106","0.45148804783821106","0.45148804783821106"
"39","0.4080677628517151","0.4080677628517151","0.4080677628517151"
"40","0.42245709896087646","0.42245709896087646","0.42245709896087646"
"41","0.48739999532699585","0.48739999532699585","0.48739999532699585"
"42","0.40382257103919983","0.40382257103919983","0.40382257103919983"
"43","0.4836309850215912","0.4836309850215912","0.4836309850215912"
"44","0.41492125391960144","0.41492125391960144","0.41492125391960144"
"45","0.4281386137008667","0.4281386137008667","0.4281386137008667"
"46","0.37580668926239014","0.37580668926239014","0.37580668926239014"
"47","0.3657301068305969","0.3657301068305969","0.3657301068305969"
"48","0.47359398007392883","0.47359398007392883","0.47359398007392883"
"49","0.3693086504936218","0.3693086504936218","0.3693086504936218"
"50","0.3520496189594269","0.3520496189594269","0.3520496189594269"
"51","0.35039231181144714","0.35039231181144714","0.35039231181144714"
"52","0.38912469148635864","0.38912469148635864","0.38912469148635864"
"53","0.3477153778076172","0.3477153778076172","0.3477153778076172"
"54","0.308356374502182","0.308356374502182","0.308356374502182"
"55","0.31177252531051636","0.31177252531051636","0.31177252531051636"
"56","0.30323752760887146","0.30323752760887146","0.30323752760887146"
"57","0.32496342062950134","0.32496342062950134","0.32496342062950134"
"58","0.3265518546104431","0.3265518546104431","0.3265518546104431"
"59","0.356137752532959","0.356137752532959","0.356137752532959"
"60","0.3073538541793823","0.3073538541793823","0.3073538541793823"
"61","0.3129439949989319","0.3129439949989319","0.3129439949989319"
"62","0.3681858777999878","0.3681858777999878","0.3681858777999878"
"63","0.4080375134944916","0.4080375134944916","0.4080375134944916"
